                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7131,                 2.6859,                 3.8832,                0.04333,                0.01301,                0.02383,                  0.009,                0.23042,                    nan,                 0.2031,               0.070086,              0.0033238,              0.0033238
                      1,                 4.4042,                 2.5157,                 3.6881,                0.03667,                0.01101,                0.01861,                0.00623,                0.20293,                    nan,                0.19265,               0.037889,              0.0044602,              0.0044602
                      2,                  4.113,                 2.3913,                 3.5673,                0.07091,                0.02102,                0.03887,                0.01881,                 0.1877,                    nan,                0.18914,              0.0034925,              0.0033967,              0.0033967
